"","show_title","imdb_rating","release_year","runtime","genre","parental_guideline","imdb_votes","synopsis"
"471","The Legend of Prince Valiant","7.4","1991-1994",22,"Animation, Action, Adventure",NA,702,"After his castle is taken over, Valiant, Prince of Thule, has a dream, in which King Arthur calls him to Camelot. Valiant heeds the advice of the dream, and sets out on a quest to find the ... See full summary »"
"472","Power Rangers HyperForce","6.3","2017-2018",180,"Action, Adventure, Fantasy","TV-PG",188,"Set in the year 3016 at Time Force Academy, a team of Time Force cadets and a beat Time Force Officer must band together when their mentor, Jen Scott ( The Pink Time Force Ranger), and the ... See full summary »"
"473","Ghostforce","6.3","2021-",22,"Animation, Action, Adventure","TV-Y7",57,"They are here, hidden in everyday objects, in an eternal slumber. Three high school kids working as a team of superheroes, the Ghostforce, secretly fight against the ghosts that haunt their town."
"474","The New Scooby and Scrappy-Doo Show","6.5","1983-1984",30,"Animation, Action, Adventure",NA,1689,"Reporter Daphne hires Scooby, Scrappy and Shaggy as her assistants to solve spooky mysteries."
"475","Centurions","7.7","1986",30,"Animation, Action, Family","TV-Y7-FV",1912,"The adventures of a unit of elite soldiers who wear special frames that accept various weapons and transportation equipment teleported from a space station."
"476","Inspector Gadget","4.7","2015-2018",22,"Animation, Action, Adventure","TV-Y7",602,"When Dr. Claw returns, Inspector Gadget is brought out of retirement to defeat him again, now with Penny and Brain's open participation."
"477","Batman Beyond","6.7","2015-",NA,"Action, Sci-Fi",NA,160,"Bruce Wayne passes the torch of BATMAN to Terry McGinnis in the futuristic megalopolis, Neo-Gotham."
"478","Street Fighter II: V","7.5","1995-1998",22,"Animation, Action, Adventure","TV-Y7",2244,"Based off of the video game, on an island off the coast of Japan, Ryu, a martial artist, was given an invitation and some American money from his friend Ken Masters, telling him to come to ... See full summary »"
"479","Dino-Riders","7.1","1988",22,"Animation, Action, Adventure","Not Rated",1249,"Pursued by intergalactic warlord Krulos and his Rulons, human Valorians fly through a wormhole and end up on the prehistoric Earth. Krulos follows and becomes stuck in prehistory as well. Both sides build dinosaur armies and engage."
"480","Gotham Girls","7.4","2000-2002",3,"Animation, Comedy, Crime","TV-PG",489,"The adventures of the female superheroes and supervillains of Gotham City."
"481","Captain Video and His Video Rangers","7.5","1949-1955",30,"Action, Sci-Fi, Adventure","TV-Y7",107,"""Guardian of the Safety of the World"", private citizen-scientist Captain Video, assisted by his teenage helper The Ranger and an army of Video Rangers, preserves the peace in the far-off ... See full summary »"
"482","Silver Surfer","7.1","1998",30,"Animation, Action, Adventure","TV-Y7",2323,"The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master."
"483","Kamen Rider: Dragon Knight","6.9","2008-2009",22,"Action","TV-Y7",493,"On the other side of every mirror on Earth lies the parallel dimension of Ventara - a world destroyed by the evil alien, General Xaviax. The Kamen Riders were warriors from Ventara who ... See full summary »"
"484","Voltron Force","6.9","2011-2012",30,"Animation, Sci-Fi","TV-Y7",511,"The further adventures of the pilots of the Voltron lions with a new generation of cadets training to help them."
"485","Kamen Rider Zero-One","8","2019-2020",24,"Action, Adventure, Comedy","TV-PG",302,"A young self-proclaimed comedian, Aruto Hiden, finds himself inheriting his late grandfather's technology company and the Zero-One Driver to becomes Kamen Rider Zero-One and a hero to humanity."
"486","The New Adventures of Batman","7.1","1977-1978",30,"Animation, Action, Adventure",NA,1142,"Batman, Robin and Batgirl fight crime in Gotham City with the ""help"" of Batmite."
"487","Monster Squad","7.7","1976",30,"Adventure, Family, Horror",NA,208,"When trouble arises, three monster wax figures come to life to battle evil."
"488","The Adventures of Super Mario Bros. 3","7.3","1990",11,"Animation, Adventure, Comedy","TV-Y7",1507,"Join Mario, and Luigi in 26 action packed adventures based on the classic NES video game."
"489","Mighty Magiswords","4.4","2015-2018",3,"Animation, Short, Action","TV-Y7",1254,"Two clumsy siblings search for legendary Magiswords to aid them in their ""Warriors for Hire"" business."
"490","Fantastic Four","6.7","1967-1968",30,"Animation, Action, Adventure","TV-Y7-FV",1397,"Four costumed superheroes battle the world's most terrifying villains."
"491","World of Winx","6.8","2016-2017",30,"Animation, Action, Comedy","TV-Y7",700,"The Winx travel all over the world searching for talent for WOW. and preventing the mysterious talent thief from kidnapping them."
"492","Uncanny X-Men","7","2012-2018",NA,"Action",NA,76,"A low-budget adaptation of the popular superhero comic book series."
"493","MegaMan: NT Warrior","6.9","2001-2005",25,"Animation, Action, Adventure","TV-Y7",869,"Lan Hikari and his virtual buddy Megaman travel around Den Tech City stopping the evil forces of World Three."
"494","Super Drags","5.4","2018",30,"Animation, Comedy, Fantasy","TV-MA",1588,"Three gay co-workers at a department store lead double lives as superhero drag queens, fighting crime and other forces like an evil drag queen and a conservative politician."
"495","Timecop","6.5","1997-1998",60,"Action, Adventure, Crime",NA,610,"Jack Logan is a time traveler from 2007, who hunts down rogue travelers and brings them to justice before they can alter the past."
"496","Hamster & Gretel","Not-Rated","TBA",NA,"Animation, Action, Adventure","TV-Y7",NA,"Follows Gretel and her pet Hamster after receiving new abilities. Now, protective older brother Kevin must figure out how to work with both Gretel and her pet to protect their city from mysterious dangers."
"497","Visionaries: Knights of the Magical Light","7.8","1987",30,"Animation, Action, Adventure",NA,1086,"The planet Prysmos - post-technological loss. Two groups rise to dominance from the devastation to wage war upon each other. One is controlled by honest and law-abiding people and the other... See full summary »"
"498","Captain N: The Game Master","6.4","1989-1991",25,"Animation, Action, Adventure","TV-Y7",1172,"Kevin, a teenage gamer and his friends fight to save Videoland from the evil Mother Brain."
"499","Untitled Wakanda Project","Not-Rated","TBA",NA,"Action, Adventure, Sci-Fi",NA,NA,"Plot under wraps."
"500","Tiger & Bunny","7.3","2011-",25,"Animation, Action, Adventure","TV-14",915,"In a world where superheroes have corporate sponsors and are the stars of their own reality TV show, a new superhero team is born as the veteran hero Wild Tiger is assigned to be partners with rookie Barnaby Brooks Jr."
"501","Mr. Terrific","6.9","1966-1967",30,"Comedy",NA,213,"Stanley Beamish, the weakling proprietor of a Washington gas station, is also a top-secret super agent. When the Government's Bureau of Special Projects needs Stanley, he takes a pill that ... See full summary »"
"502","Mighty Max","7.8","1993-1995",30,"Animation, Action, Adventure","TV-Y7",1851,"Max (Rob Paulsen), a twelve-year-old boy, finds a magical cap that can teleport him across dimensions."
"503","Smile PreCure!","6.6","2012-2013",24,"Animation, Action, Adventure","TV-PG",377,"Once upon a time, there was a kingdom of fairy tales called ""Märchenland"", where many fairy tale characters live together in joy. Suddenly, the evil emperor Pierrot made an invasion on ... See full summary »"
"504","El Chapulín Colorado","8.5","1973-1979",25,"Comedy, Family, Fantasy","TV-PG",3475,"An accident-prone superhero seems to cause more problems than the villains he faces."
"505","Painkiller Jane","5.9","2007",44,"Action, Sci-Fi",NA,3029,"Jane Vasco is a DEA agent recruited by a covert government agency that hunts genetically enhanced individuals. She discovers that she can heal rapidly from any injury and begins to investigate the source of her powers."
