"","show_title","imdb_rating","release_year","runtime","genre","parental_guideline","imdb_votes","synopsis"
"1","Peacemaker","8.5","2022-",40,"Action, Adventure, Comedy","TV-MA",60116,"Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
"2","The Legend of Vox Machina","8.6","2022-",30,"Animation, Action, Adventure","TV-MA",13128,"In a desperate attempt to pay off a mounting bar tab, a band of misfits end up on a quest to save the realm of Exandria from dark, magical forces."
"3","Daredevil","8.6","2015-2018",54,"Action, Crime, Drama","TV-MA",410433,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
"4","The Boys","8.7","2019-",60,"Action, Crime, Drama","TV-MA",347831,"A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers."
"5","Raising Dion","7.2","2019-",50,"Drama, Sci-Fi","TV-G",13375,"A widowed single mom discovers that her son has super powers and tries to figure out how to raise him safely and responsibly."
"6","Titans","7.6","2018-",45,"Action, Adventure, Crime","TV-MA",93828,"A team of young superheroes combat evil and other perils."
"7","Star Wars: The Clone Wars","8.3","2008-2020",23,"Animation, Action, Adventure","TV-PG",82049,"Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists."
"8","The Punisher","8.5","2017-2019",53,"Action, Crime, Drama","TV-MA",214770,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them."
"9","The Flash","7.6","2014-",43,"Action, Adventure, Drama","TV-PG",333285,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City."
"10","Superman & Lois","7.9","2021-",42,"Action, Adventure, Drama","TV-14",27036,"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice and parenthood in today's society."
"11","The Umbrella Academy","8","2019-",60,"Action, Adventure, Comedy","TV-14",196483,"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
"12","Loki","8.3","2021-",NA,"Action, Adventure, Fantasy","TV-14",268311,"The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”"
"13","Agents of S.H.I.E.L.D.","7.5","2013-2020",45,"Action, Adventure, Drama","TV-PG",211951,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
"14","What If...?","7.5","2021-",32,"Animation, Action, Adventure","TV-14",89330,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
"15","Gotham","7.8","2014-2019",42,"Action, Crime, Drama","TV-14",223106,"The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival."
"16","Arrow","7.5","2012-2020",42,"Action, Adventure, Crime","TV-14",423527,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
"17","Invincible","8.7","2021-",50,"Animation, Action, Adventure","TV-MA",108479,"An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet."
"18","Jessica Jones","7.9","2015-2019",56,"Action, Crime, Drama","TV-MA",206860,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
"19","DC's Legends of Tomorrow","6.8","2016-",42,"Action, Adventure, Drama","TV-14",101285,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
"20","The Boys Presents: Diabolical",NA,"2022-",14,"Animation, Action, Adventure",NA,NA,"The Boys animated spin-off."
"21","Doom Patrol","7.9","2019-",60,"Action, Adventure, Comedy","TV-MA",48885,"The adventures of an idealistic mad scientist and his field team of superpowered outcasts."
"22","Star Wars: Rebels","8","2014-2018",22,"Animation, Action, Adventure","TV-Y7-FV",38688,"A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights."
"23","Avatar: The Last Airbender","9.3","2005-2008",23,"Animation, Action, Adventure","TV-Y7-FV",288685,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
"24","Miraculous: Tales of Ladybug & Cat Noir","7.7","2015-",20,"Animation, Action, Adventure","TV-Y7",10138,"Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city."
"25","My Hero Academia","8.4","2016-",24,"Animation, Action, Adventure","TV-14",53888,"A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero."
"26","Star Wars: The Bad Batch","7.9","2021-",NA,"Animation, Action, Adventure","TV-PG",25587,"The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars."
"27","Supergirl","6.2","2015-2021",43,"Action, Adventure, Drama","TV-PG",120982,"The adventures of Superman's cousin in her own superhero career."
"28","Batwoman","3.4","2019-",45,"Action, Adventure, Crime","TV-14",41725,"Batwoman seeks justice for Gotham City."
"29","The Sandman",NA,"2022-",NA,"Drama, Fantasy, Horror",NA,NA,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment."
"30","Wu Assassins","6.4","2019-",44,"Action, Crime, Drama","TV-MA",12334,"A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Francisco's Chinatown."
"31","Naruto: Shippûden","8.6","2007-2017",24,"Animation, Action, Adventure","TV-PG",111479,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
"32","Luke Cage","7.3","2016-2018",55,"Action, Crime, Drama","TV-MA",126028,"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city."
"33","Iron Fist","6.4","2017-2018",55,"Action, Adventure, Crime","TV-MA",125530,"A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist."
"34","JoJo's Bizarre Adventure","8.5","2012-",30,"Animation, Action, Adventure","TV-14",19040,"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
"35","Naruto","8.3","2002-2007",24,"Animation, Action, Adventure","TV-PG",91043,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
"36","Fullmetal Alchemist: Brotherhood","9.1","2009-2012",24,"Animation, Action, Adventure","TV-14",152192,"Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms."
"37","She-Hulk",NA,"2022-",NA,"Action, Adventure, Comedy",NA,NA,"Jennifer Walters acquires Hulk-like qualities."
"38","Heroes","7.5","2006-2010",45,"Drama, Fantasy, Sci-Fi","TV-14",237096,"Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented."
"39","Stargirl","7.2","2020-",566,"Action, Adventure, Crime","TV-PG",16206,"Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics."
"40","One Punch Man","8.7","2015-2019",24,"Animation, Action, Comedy","TV-PG",144242,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
"41","Legion","8.2","2017-2019",60,"Action, Drama, Sci-Fi","TV-MA",88131,"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever."
"42","Bleach","8.2","2004-2012",24,"Animation, Action, Adventure","TV-14",50597,"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows""."
"43","Young Justice","8.7","2010-",23,"Animation, Action, Adventure","TV-PG",38249,"Teenage superheroes strive to prove themselves as members of the Justice League."
"44","Harley Quinn","8.5","2019-",23,"Animation, Action, Adventure","TV-MA",22036,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
"45","Hit-Monkey","7.9","2021-",22,"Animation, Action, Adventure","TV-MA",4950,"It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld."
"46","Star Trek: Prodigy","6.9","2021-",24,"Animation, Action, Adventure","TV-Y7",2092,"A group of teenagers steal a derelict Starfleet vessel and use it to explore the galaxy."
"47","Ms. Marvel",NA,"2022-",NA,"Action, Adventure, Comedy",NA,NA,"New Jersey raised Kamala Khan learns she has polymorphous powers."
"48","Misfits","8.2","2009-2013",60,"Comedy, Drama, Fantasy","TV-MA",98620,"A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers."
"49","The Legend of Korra","8.3","2012-2014",23,"Animation, Action, Adventure","TV-PG",115731,"Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds."
"50","Agent Carter","7.9","2015-2016",42,"Action, Adventure, Sci-Fi","TV-PG",80078,"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis."
"51","Batman: The Animated Series","9","1992-1995",23,"Animation, Action, Adventure","TV-PG",97586,"The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl."
"52","Young Justice","8.7","2010-",23,"Animation, Action, Adventure","TV-PG",38249,"Teenage superheroes strive to prove themselves as members of the Justice League."
"53","Cowboy Bebop","8.9","1998-1999",24,"Animation, Action, Adventure","TV-14",110193,"The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners."
"54","Harley Quinn","8.5","2019-",23,"Animation, Action, Adventure","TV-MA",22036,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
"55","Hit-Monkey","7.9","2021-",22,"Animation, Action, Adventure","TV-MA",4950,"It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld."
"56","Knight Rider","6.9","1982-1986",46,"Action, Crime, Drama","TV-PG",33346,"A lone crimefighter battles the forces of evil with the help of a virtually indestructible and artificially intelligent supercar."
"57","Batman","7.5","1966-1968",25,"Action, Adventure, Comedy","TV-G",21175,"The Caped Crusader and his young ward battle evildoers in Gotham City."
"58","MacGyver","7.7","1985-1992",48,"Action, Adventure, Crime","TV-PG",38048,"The adventures of a secret Agent armed with almost infinite scientific resourcefulness."
"59","Star Trek: Prodigy","6.9","2021-",24,"Animation, Action, Adventure","TV-Y7",2092,"A group of teenagers steal a derelict Starfleet vessel and use it to explore the galaxy."
"60","Sabrina the Teenage Witch","6.7","1996-2003",22,"Comedy, Family, Fantasy","TV-G",37927,"When a sixteen-year-old high school student finds out she's a witch, her two aunts offer guidance on how to control her newly-discovered magical powers."
"61","Dragon Ball Z","8.7","1989-2003",24,"Animation, Action, Adventure","TV-PG",123890,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
"62","The A-Team","7.5","1983-1987",60,"Action, Adventure, Crime","TV-PG",37023,"Four Vietnam vets, framed for a crime they didn't commit, help the innocent while on the run from the military."
"63","Ms. Marvel",NA,"2022-",NA,"Action, Adventure, Comedy",NA,NA,"New Jersey raised Kamala Khan learns she has polymorphous powers."
"64","Misfits","8.2","2009-2013",60,"Comedy, Drama, Fantasy","TV-MA",98620,"A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers."
"65","The Legend of Korra","8.3","2012-2014",23,"Animation, Action, Adventure","TV-PG",115731,"Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds."
"66","Agent Carter","7.9","2015-2016",42,"Action, Adventure, Sci-Fi","TV-PG",80078,"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis."
"67","Van Helsing","6.2","2016-2021",43,"Action, Drama, Fantasy","TV-14",21359,"Vanessa Helsing, distant relative of famous vampire hunter Abraham Van Helsing, is resurrected only to find that vampires have taken over the world."
"68","Star Wars: Visions","7.1","2021-",NA,"Animation, Action, Adventure","TV-PG",14339,"Star Wars anthology series that will see some of the world's best anime creators bring their talent to this beloved universe."
"69","Star Trek: Lower Decks","7.3","2020-",25,"Animation, Action, Adventure","TV-MA",14406,"The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies."
"70","Henry Danger","5.6","2014-2020",30,"Action, Comedy, Family","TV-G",4965,"Looking for a part-time job, 13-year-old Henry Hart finds himself helping super hero Captain Man as his sidekick, keeping the secret from his family and friends."
"71","The Guardians of Justice",NA,"2022-",NA,"Animation, Action, Adventure",NA,NA,"After keeping the earth at peace for 40 years, alien superhero Marvelous Man leaves a mission up to both his bitter, violent lieutenant Knight Hawk and idealistic The Speed to stop nuclear war."
"72","Beauty and the Beast","7","1987-1990",60,"Crime, Fantasy, Drama","TV-PG",6829,"The adventures and romance of a sensitive and cultured lion-man and a crusading assistant district attorney in Manhattan, New York City."
"73","Charlie's Angels","6.5","1976-1981",60,"Action, Adventure, Crime","TV-PG",12336,"A wealthy mystery man named Charlie runs a detective agency via a speakerphone and his personal assistant, John Bosley. His detectives are three beautiful women, who end up in a variety of difficult situations."
"74","Jupiter's Legacy","6.7","2021-",56,"Action, Adventure, Drama","TV-MA",36695,"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty."
"75","Inhumans","5","2017-",43,"Action, Adventure, Sci-Fi","TV-PG",24941,"An isolated community of superhumans fight to protect themselves."
"76","Buck Rogers in the 25th Century","6.9","1979-1981",60,"Action, Adventure, Sci-Fi","TV-G",8933,"A 20th-century astronaut emerges out of 500 years of suspended animation into a future time to become Earth's greatest hero."
"77","PAW Patrol","6.1","2013-",23,"Animation, Adventure, Comedy","TV-Y",2985,"Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay. The pups are occasionally joined by newer helpers: Cap'n Turbot, Robo-Dog, Everest, and Tracker."
"78","The Thundermans","5.6","2013-2018",23,"Action, Comedy, Drama","TV-G",5096,"These siblings with superpowers might be twins, but they are very different indeed."
"79","The Gifted","7.3","2017-2019",43,"Action, Drama, Fantasy","TV-14",34104,"In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity."
"80","Steven Universe","8.1","2013-2020",11,"Animation, Action, Adventure","TV-PG",31337,"A team of intergalactic warriors fights to protect the universe, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them."
"81","Phineas and Ferb","8","2007-2015",15,"Animation, Short, Action","TV-G",42231,"Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz."
"82","Airwolf","6.7","1984-1986",60,"Action, Adventure, Sci-Fi","TV-PG",11361,"As part of a deal with an intelligence agency to look for his missing brother, a renegade pilot goes on missions with an advanced battle helicopter."
"83","Ironheart","Not-Rated","TBA",NA,"Action, Adventure, Drama",NA,NA,"The genius teenage-girl inventor Riri Williams creates the most advanced suit of armor since Iron Man."
"84","Runaways","7","2017-2019",60,"Action, Drama, Sci-Fi","TV-14",25022,"After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins."
"85","Masters of the Universe: Revelation","5.2","2021-",25,"Animation, Short, Action","TV-PG",25784,"The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith."
"86","Black Lightning","6.1","2017-2021",43,"Action, Drama, Sci-Fi","TV-14",24670,"A crusading school principal gets back into action as the original African-American electrical superhero."
"87","Lois & Clark: The New Adventures of Superman","6.7","1993-1997",46,"Adventure, Comedy, Drama","TV-PG",23598,"In addition to fighting evil, Superman has a burning romance with Lois Lane in both of his identities."
"88","Ben 10","7.4","2005-2008",30,"Animation, Action, Adventure","TV-Y7-FV",17757,"The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species."
"89","Mighty Morphin Power Rangers","6.5","1993-1996",30,"Action, Adventure, Family","TV-Y7",21767,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters."
"90","X-Men: The Animated Series","8.4","1992-1997",23,"Animation, Action, Family","TV-Y7",41142,"A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe."
"91","Spider-Man: The Animated Series","8.4","1994-1998",23,"Animation, Action, Adventure","TV-Y",30297,"A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life."
"92","Swamp Thing","7.5","2019-",60,"Action, Adventure, Drama","TV-MA",23894,"Abby Arcane returns home to Marais, Louisiana to investigate a deadly swamp-borne virus, only to discover the dark, terrifying mysteries of the swamp."
"93","Dragon Ball Super","8.3","2015-2018",24,"Animation, Action, Adventure","TV-PG",27939,"Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger."
"94","Wonder Woman","7.1","1975-1979",60,"Action, Adventure, Fantasy","TV-G",8247,"The adventures of the greatest of the female superheroes."
"95","Robot Chicken","7.7","2001-",11,"Animation, Short, Adventure","TV-MA",42245,"Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books."
"96","Mob Psycho 100","8.6","2016-",24,"Animation, Action, Comedy","TV-14",25340,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble."
"97","The Incredible Hulk","7","1977-1982",60,"Action, Adventure, Drama","TV-PG",13398,"A fugitive scientist has the curse of becoming a powerful green monster under extreme emotional stress."
"98","Marvel Studios: Assembled","8","2021-",58,"Documentary","TV-14",2115,"Assembled is a comprehensive documentary series that chronicles the creation of Marvel Studios' thrilling new shows and theatrical releases. Assembled is an immersive, and in-depth examination of the next phase of the MCU."
"99","Dark Angel","7.4","2000-2002",60,"Action, Drama, Mystery","TV-14",32286,"A group of genetically-enhanced children escape from a lab project. Years later we meet Max, one of the escapees who now works for a messenger service in the post-apocalyptic Pacific Northwest."
"100","The Avengers","8.3","1961-1969",60,"Action, Comedy, Crime","TV-14",7607,"A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominately female partners."
"101","Dragon Ball","8.5","1986-1989",24,"Animation, Action, Adventure","TV-14",54296,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
"102","Bad and Crazy","8.3","2021-",70,"Action, Comedy, Crime",NA,1197,"A heroic drama that follows capable but bad cop Ryoo Soo-yeol regaining his humanity after meeting the righteous but crazy 'K'."
"103","Samurai Jack","8.5","2001-2017",25,"Animation, Action, Adventure","TV-14",50853,"A samurai, sent through time, fights to return home and save the world."
"104","Star Wars: Clone Wars","7.8","2003-2005",133,"Animation, Action, Adventure","TV-Y7",25315,"The events and battles of the Galactic Republic's last major war are recounted."
"105","The Saint","7.5","1962-1969",50,"Action, Crime, Drama","TV-PG",5255,"Simon ""The Saint"" Templar, a wealthy adventurer and 20th Century Robin Hood, travels the world in his white Volvo P1800S to solve the unsolvable and right wrongs."
"106","Teen Titans","7.9","2003-2006",23,"Animation, Action, Adventure","TV-Y7-FV",30155,"A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today."
"107","The Protector","6.6","2018-2020",40,"Action, Fantasy, Sci-Fi","TV-MA",34103,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy."
"108","She-Ra and the Princesses of Power","7.8","2018-2020",30,"Animation, Action, Adventure","TV-Y7-FV",14464,"She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde."
"109","The Tick","7.4","2016-2019",29,"Action, Adventure, Comedy","TV-MA",17625,"In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero."
"110","Teen Titans Go!","5.3","2013-",10,"Animation, Short, Action","TV-PG",20156,"Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?"
"111","Power Rangers Dino Fury","6.8","2021-2022",21,"Action, Adventure, Comedy","TV-Y7",416,"When an army of powerful alien beings is unleashed on Earth threatening life as we know it, a brand-new team of Power Rangers, fueled by the prehistoric power of the dinosaurs, are recruited to deal with the threat."
"112","The Six Million Dollar Man","7.1","1974-1978",60,"Action, Crime, Drama","TV-PG",10836,"After a severely injured test pilot is rebuilt with nuclear-powered bionic limbs and implants, he serves as an intelligence agent."
"113","The Equalizer","7.8","1985-1989",48,"Action, Crime, Drama","TV-PG",5103,"A retired Intelligence Agent turned private detective helps various threatened clients to equalize the odds."
"114","Teenage Mutant Ninja Turtles","7.8","2012-2017",24,"Animation, Action, Adventure","TV-Y7-FV",10072,"Four ninja turtles, mutated by a mysterious alien substance, must rise up out of the sewers and defend their city against evil forces from both the past and present."
"115","Justice League","8.5","2001-2004",22,"Animation, Action, Adventure","TV-PG",44875,"Seven of the most formidable heroes form arguably the most powerful team ever."
"116","Get Smart","8.2","1965-1970",25,"Action, Adventure, Comedy","TV-G",12162,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, battles the evil forces of rival spy agency KAOS with the help of his competent partner Agent 99."
"117","The Greatest American Hero","7.3","1981-1983",60,"Adventure, Comedy, Sci-Fi","TV-14",5523,"A teacher is asked to be a superhero using a special alien suit with powers he can barely understand or control."
"118","LazyTown","6","2002-2014",30,"Adventure, Comedy, Family","TV-Y",6990,"In this Nick Jr. television show, a pink-haired girl named Stephanie moves to LazyTown with her uncle (the mayor of LazyTown), where she tries to teach its extremely lazy residents that physical activity is beneficial."
"119","Avengers Assemble","7","2012-2019",23,"Animation, Action, Adventure","TV-Y7",7395,"The further adventures of the Marvel Universe's mightiest general membership superhero team."
"120","Fairly OddParents","7.2","2001-2017",30,"Animation, Adventure, Comedy","TV-Y7",38109,"After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences."
"121","Q-Force","6.4","2021-",30,"Animation, Action, Adventure","TV-MA",4717,"A handsome secret agent and his team of LGBTQ superspies embark on extraordinary adventures."
"122","Fullmetal Alchemist","8.5","2003-2004",24,"Animation, Action, Adventure","TV-PG",68093,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone."
"123","The Flash","7.1","1990-1991",48,"Action, Crime, Fantasy","TV-PG",7144,"A police forensic scientist, Barry Allen, battles crimes as the super-fast superhero ""The Flash""."
"124","Teenage Mutant Ninja Turtles","7.9","1987-1996",23,"Animation, Action, Adventure","TV-Y7",33133,"The adventures of a quartet of humanoid warrior turtles and their friends."
"125","Batman Beyond","8.1","1999-2001",23,"Animation, Action, Adventure","TV-Y7",26756,"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham."
"126","Justice League Unlimited","8.7","2004-2006",23,"Animation, Action, Adventure","TV-Y7-FV",14495,"A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe."
"127","Constantine","7.5","2014-2015",43,"Crime, Drama, Fantasy","TV-14",52045,"A man struggling with his faith who is haunted by the sins of his past is suddenly thrust into the role of defending humanity from the gathering forces of darkness."
"128","Highway to Heaven","6.8","1984-1989",60,"Drama, Fantasy","TV-PG",5230,"A probationary angel, sent back to Earth, teams with an ex-cop to help people."
"129","Kung Fu","7.7","1972-1975",60,"Adventure, Drama, Western","TV-PG",5962,"The adventures of a Shaolin Monk as he wanders the American West armed only with his skill in Kung Fu."
"130","Cloak & Dagger","6.7","2018-2019",44,"Action, Adventure, Drama","TV-14",19617,"Two teenagers from very different backgrounds find themselves burdened and awakened to newly acquired superpowers while growing closer together every day."
"131","Ben 10: Alien Force","7.3","2008-2010",22,"Animation, Action, Adventure","TV-Y7",9345,"Fifteen-year-old Ben Tennyson must utilize the Omnitrix yet again in order to locate his missing Grandpa Max, accompanied by his cousin Gwen and former enemy Kevin 11."
"132","Adventures of Superman","7.7","1952-1958",30,"Action, Adventure, Crime","TV-G",3815,"The Man of Steel fights crime with help from his friends at the Daily Planet."
"133","The Venture Bros.","8.5","2003-2018",22,"Animation, Action, Adventure","TV-MA",25294,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons."
"134","Scooby Doo, Where Are You!","7.9","1969-1970",22,"Animation, Adventure, Comedy","TV-G",33455,"A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function."
"135","Shaktimaan","8.2","1997-2005",60,"Action, Adventure, Family","Not Rated",4728,"When darkness get strengthened to destroy the world, Suryanshis chose Shaktimaan in order to fight against the forces of evil."
"136","Ultimate Spider-Man","7.2","2012-2017",23,"Animation, Action, Adventure","TV-Y7",11838,"Spider-Man battles evil with a new team of teen colleagues and training from S.H.I.E.L.D."
"137","Trollhunters: Tales of Arcadia","8.4","2016-2018",23,"Animation, Action, Adventure","TV-Y7",16219,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls."
"138","Armor Wars","Not-Rated","TBA",NA,"Action, Adventure, Drama",NA,NA,"Find out in this series what would happen if Tony Stark's tech fell into the wrong hands."
"139","Ben 10: Omniverse","6.1","2012-2014",22,"Animation, Action, Adventure","TV-Y7",4702,"The continuing adventures of Ben Tennyson (Yuri Lowenthal) and his new partner, Rook Blonko (Bumper Robinson)."
"140","Krypton","6.9","2018-2019",45,"Action, Adventure, Drama","TV-14",16301,"The untold story of Superman's grandfather as he fights for justice on his home planet."
"141","Star vs. the Forces of Evil","7.8","2015-2019",22,"Animation, Action, Adventure","TV-Y7",13711,"Star Butterfly arrives on Earth to live with the Diazes, a Mexican-American family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her."
"142","Ben 10: Ultimate Alien","7.7","2010-2012",22,"Animation, Action, Adventure","TV-Y7",7039,"With his secret identity now revealed to the world, Ben Tennyson continues to fight evil as a superhero with the help of the newly acquired Ultimatrix."
"143","The Batman","7.3","2004-2008",22,"Animation, Action, Adventure","TV-Y7",11275,"Billionaire Bruce Wayne fights crime and evil as the mysterious Batman."
"144","Kim Possible","7.2","2002-2007",30,"Animation, Action, Adventure","TV-G",26597,"A high school cheerleader and her accident-prone best friend balance their duties as global crime-fighters with the typical challenges of adolescence."
"145","Spidey and His Amazing Friends","6.1","2021-",22,"Animation, Action, Adventure","TV-Y7",322,"Follow Peter Parker, Gwen Stacy, and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel, and Black Panther to take down foes like Rhino, Doc Oock, and Green Goblin."
"146","Scooby-Doo! Mystery Incorporated","8","2010-2013",23,"Animation, Adventure, Comedy","TV-Y7-FV",11200,"Scooby-Doo and the gang attempt to solve creepy mysteries in the town of Crystal Cove, a place with a history of eerie supernatural events."
"147","The Real Ghostbusters","7.6","1986-1991",23,"Animation, Action, Comedy","TV-Y7",9672,"The continuing adventures of the staff of the ghost removal service."
"148","Gargoyles","8.1","1994-1996",30,"Animation, Action, Adventure","TV-Y7",15997,"A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier."
"149","Aqua Teen Hunger Force","7.6","2000-2015",15,"Animation, Comedy","TV-MA",24562,"The misadventures of a milkshake, an order of fries, a meatball, and their retired next door neighbor in the suburbs of New Jersey."
